locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMANMOLG_00001	CDS	375		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
AMANMOLG_00002	CDS	534	moaC1_1	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 1
AMANMOLG_00003	CDS	666				hypothetical protein
AMANMOLG_00004	CDS	615				hypothetical protein
AMANMOLG_00005	CDS	243				hypothetical protein
AMANMOLG_00006	CDS	429		3.1.-.-		Ribonuclease VapC44
AMANMOLG_00007	CDS	792	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AMANMOLG_00008	CDS	1749	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AMANMOLG_00009	CDS	435				hypothetical protein
AMANMOLG_00010	CDS	339	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
AMANMOLG_00011	CDS	402	cdd	3.5.4.5	COG0295	Cytidine deaminase
AMANMOLG_00012	CDS	1284	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
AMANMOLG_00013	CDS	1098	add	3.5.4.4	COG1816	Adenosine deaminase
AMANMOLG_00014	CDS	312	mtp			Pilin
AMANMOLG_00015	CDS	171				hypothetical protein
AMANMOLG_00016	CDS	933				hypothetical protein
AMANMOLG_00017	CDS	1263				hypothetical protein
AMANMOLG_00018	CDS	900	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
AMANMOLG_00019	CDS	717	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
AMANMOLG_00020	CDS	1605		5.4.2.8	COG1109	putative phosphomannomutase
AMANMOLG_00021	CDS	807	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase
AMANMOLG_00022	CDS	1185		3.5.1.47		N-acetyldiaminopimelate deacetylase
AMANMOLG_00023	CDS	1170	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
AMANMOLG_00024	CDS	600				hypothetical protein
AMANMOLG_00025	CDS	1416	lpdA_1	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
AMANMOLG_00026	CDS	1758	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
AMANMOLG_00027	CDS	666	phoU1		COG0704	Phosphate-specific transport system accessory protein PhoU 
AMANMOLG_00028	CDS	918				hypothetical protein
AMANMOLG_00029	CDS	2910				hypothetical protein
AMANMOLG_00030	CDS	900				hypothetical protein
AMANMOLG_00031	CDS	768	nei1_1	3.2.2.-	COG0266	Endonuclease 8 1
